symbol,final_value,total_return,cagr,volatility,sharpe,max_drawdown,bh_return,bh_cagr,total_trades,winners,losers,win_rate,avg_profit,total_profit,max_win,max_loss,outperformance
SPY,10373.455804021702,3.7345580402170064,0.18393209865432691,0.47044339004690716,0.3930448929067947,-0.961526565077329,946.9198930874704,12.459376824518586,56,46,10,82.14285714285714,6.668853643244773,373.4558040217073,54.091363210450254,-50.36611979519978,-943.1853350472534
QQQ,13033.553743849594,30.33553743849593,1.3367269486389555,2.7547230448770432,0.49590637680497096,-10.623424247747872,24.43458368071316,1.099045412132682,371,284,87,76.54986522911051,8.176694727357422,3033.553743849603,216.27119991276027,-786.1788353186618,5.900953757782769
AAPL,12378.444291486161,23.784442914861614,1.0751422753404016,3.272362956672329,0.34322901357564783,-11.397189717936488,5054.641041243126,21.78952071281173,338,245,93,72.48520710059172,7.058523544156117,2385.780957924767,170.41062794012373,-486.4085569362892,-5030.856598328264
MSFT,11318.544362264276,13.185443622642756,0.6226956582228826,1.8096836630066422,0.3521353363077718,-4.867330456012921,7276.291639331643,23.991497147052463,148,107,41,72.2972972972973,8.909083528812781,1318.5443622642917,293.06158950868553,-254.24769509016994,-7263.106195709
GOOGL,12550.801191562012,25.50801191562011,1.1452162240156438,2.1319296976657145,0.5448788230089329,-6.581810838642017,695.1922758930426,10.923511010226704,199,150,49,75.37688442211056,12.8180964400102,2550.801191562029,297.8456151284447,-361.40328240463236,-669.6842639774225
AMZN,11418.40630548829,14.18406305488289,0.6670052149197137,1.715950318119661,0.39607554691064145,-5.089476145093592,2346.6013544328,17.335157490036202,73,58,15,79.45205479452055,19.430223362853365,1418.4063054882956,178.78808614298987,-226.14408709587235,-2332.417291377917
JPM,11066.046571900351,10.66046571900352,0.508982023395621,3.315083366059642,0.1697456404806578,-7.944851587456273,-43.55419163117376,-2.818950507749174,356,245,111,68.82022471910112,2.9945128424167415,1066.046571900361,218.20002278278275,-514.7942246458737,54.214657350177276
XOM,12154.66118448116,21.546611844811594,0.982764412679904,2.5919148503409737,0.3903375985782969,-11.723729359483492,1798.4155017506364,15.85627568909418,321,232,89,72.27414330218068,6.712340138570532,2154.6611844811405,219.6674861351512,-268.8395191468703,-1776.8688899058247
JNJ,10514.14106129809,5.141410612980901,0.25159437989827893,1.181089357668588,0.21869598012355582,-4.522086577616832,1653.3718230711684,15.39678281654564,129,94,35,72.86821705426357,3.9855896224658096,514.1410612980894,88.9664190352471,-266.8883716100337,-1648.2304124581874
TSLA,12599.090643769514,25.99090643769515,1.164685020238787,5.784502953489525,0.22910556781055014,-28.08304456599969,4358.808486806445,20.90964358171179,361,270,91,74.79224376731301,7.199697074153861,2599.090643769547,743.5464827082301,-962.4118614155518,-4332.81758036875
