buffer,sma_window,final_value,total_return,cagr,volatility,sharpe,max_drawdown,trades,win_rate
0.1,5,10437.866191493435,4.378661914934345,0.21471838028030987,0.5337804731155217,0.4045736934899621,-1.2865161230559843,95,70.52631578947368
0.1,8,10328.715467212323,3.287154672123238,0.16210250487507238,0.4722741141508636,0.3453876945597575,-1.093405481776972,78,78.2051282051282
0.1,10,10377.61298893483,3.776129889348301,0.18586995055847044,0.4704063300325779,0.39718839224247476,-1.0690572164285383,70,84.28571428571429
0.1,12,10356.532450771014,3.5653245077101436,0.17573419081911013,0.4689501826538091,0.37682783386260915,-0.961526565077329,60,83.33333333333334
0.1,15,10414.822321721145,4.148223217211444,0.20403912637434463,0.458068793143066,0.44735653407487186,-1.096402971146377,59,86.4406779661017
0.1,20,10387.158253831283,3.8715825383128344,0.19086442581377483,0.4456649538776299,0.43017222883978984,-1.0886324386796227,53,86.79245283018868
0.1,30,10467.816259249155,4.678162592491564,0.2302352020877807,0.42811972578409035,0.5394102922885217,-0.9635953427161439,44,88.63636363636364
0.1,50,10379.308136570015,3.793081365700135,0.18818768306767542,0.3800653032312719,0.49667775055727453,-0.8988721941468809,34,94.11764705882352
0.2,5,10475.486127487206,4.754861274872058,0.23276502795503973,0.5263498192025736,0.44442733562950987,-1.233724443846557,87,73.5632183908046
0.2,8,10391.14563251432,3.9114563251432033,0.19233457103244866,0.47131790430840254,0.4101222598910824,-1.0891487266893103,72,79.16666666666666
0.2,10,10370.28932890547,3.7028932890547095,0.1823265900212645,0.47099849779790803,0.38918412804510505,-0.9519554950360128,63,82.53968253968253
0.2,12,10373.455804021702,3.7345580402170064,0.18393209865432691,0.47044339004690716,0.3930448929067947,-0.961526565077329,56,82.14285714285714
0.2,15,10438.252450249816,4.382524502498164,0.21533211583482093,0.45771884786121864,0.4723208417570413,-0.9536497519772593,55,87.27272727272727
0.2,20,10394.981911244686,3.9498191124468507,0.1946513161290131,0.45046585249109117,0.4340275001867978,-1.0901936402026404,48,85.41666666666666
0.2,30,10432.169096587664,4.321690965876646,0.21303895371542758,0.4318956089510816,0.49499602809883375,-0.9680457658875705,36,88.88888888888889
0.2,50,10366.141164377575,3.6614116437757582,0.18176530714197892,0.38090631093287547,0.4787563752187546,-0.8994690131789088,29,93.10344827586206
0.3,5,10452.48294106948,4.524829410694808,0.2217375050069581,0.5272990458099986,0.4227666216275401,-1.2917515779177953,77,71.42857142857143
0.3,8,10422.367197980124,4.223671979801247,0.2073890816234103,0.46836108694625234,0.4447672204807672,-0.972250483288007,66,83.33333333333334
0.3,10,10340.650726195301,3.406507261953018,0.16796241334147144,0.4657603453256125,0.3627156929977925,-0.8715180711041649,54,81.48148148148148
0.3,12,10302.707020737864,3.027070207378646,0.14957554526069394,0.4769029575275675,0.3158495136678701,-1.0658888111998932,44,81.81818181818183
0.3,15,10397.123248455937,3.9712324845593727,0.19549241325258482,0.4589075161983892,0.42795654914740294,-0.9538166555860258,49,85.71428571428571
0.3,20,10372.611794973316,3.7261179497331653,0.18381628646026993,0.45729704957056483,0.4039577818011935,-1.0606261925734093,39,84.61538461538461
0.3,30,10462.751578875423,4.627515788754222,0.22779538474164696,0.4354964704533327,0.5247557242688053,-0.967807912530719,34,91.17647058823529
0.3,50,10327.623669946497,3.276236699464974,0.1629332887642887,0.38729166322496245,0.4223750624796436,-0.9007725367368796,24,87.5
0.5,5,10355.366514060644,3.5536651406064435,0.1749251817699804,0.5190500376515419,0.3393738240650793,-1.1184601235509755,61,75.40983606557377
0.5,8,10322.653871274744,3.226538712747451,0.1591579131031695,0.46404255375107173,0.34509479744290267,-0.9862036500906939,51,78.43137254901961
0.5,10,10220.027327963086,2.20027327963086,0.1090966394670767,0.4656991809273507,0.2365087838210917,-0.961526565077329,38,76.31578947368422
0.5,12,10302.845932183587,3.0284593218358635,0.14964322182218215,0.4765167565505706,0.3162434600092756,-1.0658888111998932,38,78.94736842105263
0.5,15,10395.640493676487,3.956404936764857,0.1947757779215964,0.45918028874129113,0.42614711120811877,-0.9517425082899791,38,81.57894736842105
0.5,20,10392.002256458967,3.920022564589676,0.19320939103135704,0.45865294582596455,0.4232225932396215,-1.1495318028723944,33,87.87878787878788
0.5,30,10466.549243503468,4.6654924350346905,0.22962494553973034,0.4359615088997094,0.5283885220913818,-0.9686639474121416,30,90.0
0.5,50,10343.291199145515,3.4329119914551454,0.17060150845140676,0.3824948507590519,0.4476424100917769,-0.8625598627285773,20,95.0
1.0,5,10429.561970311182,4.29561970311183,0.2107264410084131,0.5113112617589984,0.414330498391863,-0.9800208520098495,43,72.09302325581395
1.0,8,10350.068886009822,3.500688860098222,0.17246247166438078,0.47621670539167177,0.36429032272369055,-1.0658888111998932,33,81.81818181818183
1.0,10,10372.820322495378,3.7282032249537744,0.18355141350294701,0.48569429761047445,0.3800708422552696,-1.0658888111998932,30,80.0
1.0,12,10380.620697793403,3.8062069779340346,0.18739904575320043,0.4945899964296156,0.38108949884512555,-0.908922552199656,28,82.14285714285714
1.0,15,10461.651568803858,4.6165156880385805,0.2265861547415371,0.4828343047345858,0.4712583583558197,-0.9655445554251777,26,84.61538461538461
1.0,20,10316.716051021062,3.1671605102106204,0.15664570654789767,0.4565238530431838,0.3452070815774275,-0.9031636437150701,22,81.81818181818183
1.0,30,10497.998545338733,4.979985453387337,0.24475176144236332,0.4408337696578828,0.5568368764680848,-0.9047326526329931,21,90.47619047619048
1.0,50,10427.532989258432,4.275329892584323,0.21164416533907549,0.39059169345451566,0.5433426139775638,-0.8575152543605793,16,93.75
2.0,5,10350.94151869278,3.5094151869278,0.17278231288011536,0.47783130302227994,0.3637440886639678,-1.1805546709248909,19,84.21052631578947
2.0,8,10304.355067374907,3.0435506737490625,0.1502587772952868,0.47235588237607534,0.3202889097340909,-0.908922552199656,17,76.47058823529412
2.0,10,10381.22535774289,3.8122535774288924,0.18761682564989446,0.4920721725908019,0.38345595552964296,-1.1278092347903672,17,82.35294117647058
2.0,12,10350.356620283841,3.503566202838404,0.1727393631793417,0.4901617666687272,0.3546272566012747,-1.128705454294675,16,81.25
2.0,15,10402.537701077148,4.02537701077148,0.19810846683956385,0.47418974288446736,0.4198212980246145,-0.871785276560456,15,80.0
2.0,20,10402.55603534952,4.0255603534951945,0.19831484659900145,0.45165709496171835,0.44099113182841126,-0.8668995565984476,15,80.0
2.0,30,10345.736187952429,3.457361879524279,0.17111077038631795,0.44929784190196653,0.38283461341635755,-0.911359631184382,11,90.9090909090909
2.0,50,10351.953271468956,3.519532714689566,0.174836287172786,0.39492036524333807,0.4443872409287545,-0.8408848663862123,9,88.88888888888889
3.0,5,10461.96571658121,4.619657165812097,0.2262862534887944,0.550174962469519,0.41366540689671283,-1.1192255683163945,9,88.88888888888889
3.0,8,10460.33361920622,4.603336192062191,0.22563823272132577,0.46259969292466363,0.48962034823916056,-1.2117185154101504,11,81.81818181818183
3.0,10,10505.10493073607,5.051049307360689,0.24717595016006122,0.4775760563792276,0.5194144866035217,-1.207421233085836,11,81.81818181818183
3.0,12,10509.944377157772,5.099443771577716,0.24958847015688068,0.46637445511029274,0.5369374578719449,-1.20383060485898,10,80.0
3.0,15,10392.36816973038,3.9236816973037936,0.19319387610585714,0.461492027696268,0.4206131554172854,-0.842420947934433,9,77.77777777777779
3.0,20,10384.886001270843,3.8488600127084327,0.1897640781591381,0.43200309907269335,0.44109420063756616,-0.7405853674299276,9,77.77777777777779
3.0,30,10411.859788530273,4.118597885302733,0.2032167405093821,0.44097909030252636,0.4626576635259584,-0.8561781203654664,9,88.88888888888889
3.0,50,10193.57691350966,1.9357691350965878,0.09687101944062526,0.3558362240994469,0.2739338155843429,-0.7906773710389025,5,80.0
5.0,5,10101.551427937564,1.0155142793756289,0.05058258604422328,0.24630141275903675,0.20658686076081176,-0.8666935842313351,1,100.0
5.0,8,10192.710405227706,1.9271040522770733,0.09563596085069292,0.26803744522538586,0.3580393681950036,-0.8589359621846078,2,100.0
5.0,10,10192.710405227706,1.9271040522770733,0.09567400526249159,0.26809072176049126,0.358110578135277,-0.8589359621846078,2,100.0
5.0,12,10223.615082219065,2.236150822190641,0.11090113127802947,0.27609559065167405,0.4029125080296883,-0.8563374024002537,2,100.0
5.0,15,10190.216857290081,1.9021685729008198,0.09454107824902191,0.3135902404637466,0.30296032550419105,-0.8591463150558929,2,100.0
5.0,20,10151.789714147264,1.517897141472635,0.07565331810985843,0.3744597012719608,0.2038650623963715,-0.8719465630327619,2,100.0
5.0,30,10210.953704304638,2.1095370430463944,0.10505989586349074,0.37977360388227893,0.27844428330093063,-1.2411975874194554,3,100.0
5.0,50,10218.392479223525,2.183924792235259,0.10916285219515487,0.3815204252379823,0.28793193344393303,-1.2378952427684937,3,100.0
